id_usuario,nombre,mail,password,username,id_videojuego,cantidad,veredicto,titulo,texto
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,1262.0,90.0,,,
83,Peter Barber,pbarber@icloud.com,5gtKhoFM,pbarber1971,731.0,30.0,,,
141,Jessica Taylor,jtaylor@yahoo.com,5f3ioZ9I,jtaylor1997,1331.0,0.75,,,
125,Gregory Berry,gberry@yahoo.it,rDUQSQVX,gberry1982,1970.0,0.0,,,
94,Cynthia Simmons,csimmons@yahoo.it,t6sHW9dD,csimmons1972,109.0,90.0,,,
120,Amanda Sandoval,asandoval@yahoo.es,Mnv5OmqE,asandoval1990,529.0,1.25,,,
64,Michelle Weber,mweber@yahoo.it,TV912g59,mweber1962,230.0,18.5,,,
108,Laura Mcdaniel,lmcdaniel@icloud.com,suykYALE,lmcdaniel1995,1011.0,80.25,,,
133,Brian Rios,brios@icloud.com,ow8NkWYm,brios1983,37.0,5.0,,,
143,Sharon Weber,sweber@gmail.com,1KvE1GH9,sweber1966,26758.0,42.0,,,
91,Travis Meyers,tmeyers@yahoo.it,rnFwF4aL,tmeyers1960,116.0,2.0,,,
81,Holly Scott,hscott@gmail.com,fvaf0jVO,hscott1985,960.0,1.0,,,
35,Dwayne Roberts,droberts@yahoo.it,MCaZ9dwb,droberts1966,9630.0,7.0,,,
146,John Wade,jwade@icloud.com,ENjqJ0g3,jwade1981,76.0,,negativo,Peor juego,Más malo que la pizza helada
85,Alyssa Bryant,abryant@hotmail.com,TvuOp8nt,abryant1990,622.0,1.0,,,
93,Joanna Brewer,jbrewer@gmail.com,InlgLdUD,jbrewer1984,1942.0,80.25,,,
139,Jason Williams,jwilliams@yahoo.it,vmDmX83Y,jwilliams1974,38.0,90.0,,,
148,Mario Shepard,mshepard@hotmail.com,3vVZGIhO,mshepard1995,11133.0,3.0,,,
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,1029.0,10.0,,,
127,Paul Davis,pdavis@gmail.com,vFjUO6Rc,pdavis2001,1262.0,2.0,,,
124,Jennifer Wilson,jwilson@yahoo.it,gvkCBAv2,jwilson1979,7351.0,2.25,,,
81,Holly Scott,hscott@gmail.com,fvaf0jVO,hscott1985,231.0,3.75,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,549.0,26.0,,,
143,Sharon Weber,sweber@gmail.com,1KvE1GH9,sweber1966,7344.0,60.0,,,
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,231.0,10.0,,,
76,Richard Doyle,rdoyle@gmail.com,6YnIZbGu,rdoyle1985,2207.0,5.0,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,974.0,0.0,,,
102,Benjamin Miller,bmiller@yahoo.it,RRMlowlh,bmiller1969,3025.0,90.0,,,
92,Kristopher Poole,kpoole@hotmail.com,nlHJ64kw,kpoole1969,7323.0,5.0,,,
128,Melinda Hess,mhess@yahoo.com,dkoUQ5wV,mhess1971,231.0,60.0,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,74.0,,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
127,Paul Davis,pdavis@gmail.com,vFjUO6Rc,pdavis2001,59.0,2.5,,,
136,Aaron Greene,agreene@yahoo.es,COO4xT9X,agreene1968,431.0,4.75,,,
10,Antonio Shaw,ashaw@icloud.com,qSOfdTgQ,ashaw1989,126.0,15.0,,,
80,Nicholas Snyder,nsnyder@hotmail.com,38mdWYSX,nsnyder1960,11208.0,43.5,,,
105,Charles Gordon,cgordon@gmail.com,kc8gQfxD,cgordon1977,1121.0,2.0,,,
85,Alyssa Bryant,abryant@hotmail.com,TvuOp8nt,abryant1990,14593.0,0.5,,,
27,Teresa Chavez,tchavez@hotmail.com,IpPsGbm0,tchavez1983,493.0,13.0,,,
23,Donna Johnson,djohnson@yahoo.es,oxf4uFom,djohnson1984,501.0,2.25,,,
102,Benjamin Miller,bmiller@yahoo.it,RRMlowlh,bmiller1969,7346.0,52.0,,,
111,Ryan Merritt,rmerritt@icloud.com,5lqZRmWV,rmerritt1967,1970.0,24.0,,,
40,Jasmine Oconnor,joconnor@hotmail.com,eUsJ0bIE,joconnor1986,478.0,48.0,,,
76,Richard Doyle,rdoyle@gmail.com,6YnIZbGu,rdoyle1985,26758.0,3.5,,,
44,Heidi Hood,hhood@hotmail.com,wfhYEQHK,hhood1985,1070.0,28.0,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,1068.0,7.0,,,
116,Mr. Brent Barajas,mbrent@hotmail.com,SltGL55J,mbrent1977,21.0,4.75,,,
138,Kevin Jackson,kjackson@yahoo.es,aOqas1F7,kjackson1963,12517.0,1.0,,,
74,Wendy Smith,wsmith@yahoo.it,yiEbsYQQ,wsmith2001,1942.0,60.0,,,
112,Jennifer Hopkins,jhopkins@yahoo.es,zLaETntd,jhopkins1985,472.0,1.75,,,
79,Michael Stewart,mstewart@hotmail.com,gnBKK1zl,mstewart1996,8173.0,2.0,,,
82,Donald West,dwest@hotmail.com,h49f9vtW,dwest1975,59.0,5.0,,,
89,Amanda Smith,asmith@gmail.com,2HpVCr81,asmith1989,5503.0,,positivo,Es el guaripolo de los videojuegos,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género"
112,Jennifer Hopkins,jhopkins@yahoo.es,zLaETntd,jhopkins1985,7344.0,3.75,,,
134,Joseph Harrison,jharrison@yahoo.es,ZCtisRw5,jharrison1997,5503.0,44.0,,,
112,Jennifer Hopkins,jhopkins@yahoo.es,zLaETntd,jhopkins1985,732.0,32.0,,,
98,David Cline,dcline@yahoo.es,qn4RRRHk,dcline1963,16.0,0.0,,,
117,Sharon Vaughan,svaughan@gmail.com,OBgdy9ZL,svaughan1970,7342.0,3.0,,,
106,Charles Tucker,ctucker@yahoo.es,wCnJiML8,ctucker1961,1384.0,,negativo,Parace una broma que existe un juego como este,Más malo que la pizza helada
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,733.0,4.5,,,
147,Barbara Sanchez,bsanchez@yahoo.com,zeW5Pha5,bsanchez1994,2155.0,75.0,,,
131,Sandra White,swhite@yahoo.it,AlTbt6GM,swhite1976,1871.0,52.0,,,
150,Jared Pratt,jpratt@yahoo.it,kcQDLiw5,jpratt1973,343.0,0.75,,,
88,Courtney Barr,cbarr@gmail.com,Wwm7b2qs,cbarr1993,2155.0,3.5,,,
100,Jason Stone,jstone@yahoo.com,OxmLgzvq,jstone1973,545.0,0.0,,,
102,Benjamin Miller,bmiller@yahoo.it,RRMlowlh,bmiller1969,1068.0,23.0,,,
96,Mrs. Paula Monroe DDS,mpaula@icloud.com,QLSkaoC4,mpaula1990,247.0,80.25,,,
116,Mr. Brent Barajas,mbrent@hotmail.com,SltGL55J,mbrent1977,9730.0,41.5,,,
96,Mrs. Paula Monroe DDS,mpaula@icloud.com,QLSkaoC4,mpaula1990,979.0,0.5,,,
92,Kristopher Poole,kpoole@hotmail.com,nlHJ64kw,kpoole1969,472.0,1.0,,,
138,Kevin Jackson,kjackson@yahoo.es,aOqas1F7,kjackson1963,128.0,0.25,,,
89,Amanda Smith,asmith@gmail.com,2HpVCr81,asmith1989,427.0,52.0,,,
135,Ximelez,ximelez@gmail.com,IUxIUoVM,ximelez1965,1266.0,90.0,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,538.0,90.0,,,
117,Sharon Vaughan,svaughan@gmail.com,OBgdy9ZL,svaughan1970,247.0,3.0,,,
142,Matthew Whitney,mwhitney@hotmail.com,qVYt81JH,mwhitney1991,233.0,1.75,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,7346.0,3.25,,,
35,Dwayne Roberts,droberts@yahoo.it,MCaZ9dwb,droberts1966,14593.0,2.75,,,
110,Craig Smith,csmith@hotmail.com,tzxSkUzQ,csmith1994,1020.0,1.0,,,
139,Jason Williams,jwilliams@yahoo.it,vmDmX83Y,jwilliams1974,343.0,32.0,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,427.0,80.25,,,
121,Dean Warner,dwarner@icloud.com,Mz5QOECs,dwarner1963,7344.0,5.0,,,
47,Jeffrey Brown,jbrown@gmail.com,rUES9Men,jbrown1968,40.0,3.0,,,
38,Amy Allen,aallen@yahoo.es,JOiUve4K,aallen1997,327.0,0.0,,,
9,Jeffrey Aguirre,jaguirre@yahoo.it,dL1lawrd,jaguirre1971,1011.0,5.0,,,
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,11198.0,3.75,,,
96,Mrs. Paula Monroe DDS,mpaula@icloud.com,QLSkaoC4,mpaula1990,545.0,48.0,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,427.0,75.0,,,
122,Caroline Wilson,cwilson@gmail.com,2V1fvJAB,cwilson1965,733.0,1.5,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,2993.0,3.0,,,
95,Minanda,minanda@hotmail.com,IUxIUoVM,minanda1972,3025.0,80.25,,,
136,Aaron Greene,agreene@yahoo.es,COO4xT9X,agreene1968,472.0,10.0,,,
45,Timothy Bryant,tbryant@hotmail.com,NfUPGTeB,tbryant1985,14593.0,1.0,,,
149,Amanda Robertson,arobertson@yahoo.it,eXCXIleM,arobertson1963,109.0,5.0,,,
40,Jasmine Oconnor,joconnor@hotmail.com,eUsJ0bIE,joconnor1986,26758.0,,negativo,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,343.0,2.0,,,
121,Dean Warner,dwarner@icloud.com,Mz5QOECs,dwarner1963,37.0,48.0,,,
12,Steven Sullivan,ssullivan@yahoo.com,oSCRZPnt,ssullivan1988,74.0,,positivo,Me encantaría saber si tiene una secuela,"Me encantó, nada más que decir"
76,Richard Doyle,rdoyle@gmail.com,6YnIZbGu,rdoyle1985,116.0,90.0,,,
81,Holly Scott,hscott@gmail.com,fvaf0jVO,hscott1985,7323.0,0.75,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,124.0,5.0,,,
148,Mario Shepard,mshepard@hotmail.com,3vVZGIhO,mshepard1995,239.0,23.5,,,
124,Jennifer Wilson,jwilson@yahoo.it,gvkCBAv2,jwilson1979,327.0,5.0,,,
128,Melinda Hess,mhess@yahoo.com,dkoUQ5wV,mhess1971,121.0,1.5,,,
64,Michelle Weber,mweber@yahoo.it,TV912g59,mweber1962,623.0,3.5,,,
124,Jennifer Wilson,jwilson@yahoo.it,gvkCBAv2,jwilson1979,14593.0,0.25,,,
11,Michael Marshall,mmarshall@yahoo.es,JAteLxYq,mmarshall1982,40.0,4.75,,,
108,Laura Mcdaniel,lmcdaniel@icloud.com,suykYALE,lmcdaniel1995,16.0,0.25,,,
81,Holly Scott,hscott@gmail.com,fvaf0jVO,hscott1985,1887.0,4.75,,,
106,Charles Tucker,ctucker@yahoo.es,wCnJiML8,ctucker1961,7599.0,48.0,,,
136,Aaron Greene,agreene@yahoo.es,COO4xT9X,agreene1968,529.0,0.0,,,
107,Sierra Garrett,sgarrett@hotmail.com,aJ1i7pVt,sgarrett1983,732.0,75.0,,,
23,Donna Johnson,djohnson@yahoo.es,oxf4uFom,djohnson1984,478.0,2.0,,,
108,Laura Mcdaniel,lmcdaniel@icloud.com,suykYALE,lmcdaniel1995,15.0,1.0,,,
145,Thomas Ashley,tashley@icloud.com,0ZhZO33t,tashley1984,1020.0,5.0,,,
54,Kyle Mckenzie,kmckenzie@yahoo.it,8unHco8S,kmckenzie1982,1331.0,0.25,,,
149,Amanda Robertson,arobertson@yahoo.it,eXCXIleM,arobertson1963,1985.0,4.75,,,
137,Alexander Webb,awebb@yahoo.es,5e7AnmrQ,awebb1962,500.0,1.5,,,
108,Laura Mcdaniel,lmcdaniel@icloud.com,suykYALE,lmcdaniel1995,20.0,,positivo,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor
99,Allen Hicks,ahicks@yahoo.es,Lx88NX4L,ahicks1988,43.0,10.0,,,
